Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Stoeckle, Hermann; Grundy, John; Hosking, John; ",A framework for visual notation exchange,Journal of Visual Languages & Computing,16,3,187-212,2005,Elsevier
"Li, Lei; Hosking, John; Grundy, John; ",EML: A tree overlaybased visual language for business process modelling,2007 International Conference on Enterprise Information Systems (ICEIS 2007),7,,13-19,2007,
"Grundy, John C; Hosking, John G; ",The MViews framework for constructing multi-view editing environments,New Zealand Journal of Computing,4,2,31-40,1993,Citeseer
"Mugridge, Warwick B; Hosking, John G; Grundy, John; ",Towards a constructor kit for visual notations,Sixth Australian Conference on Computer-Human Interaction (OZCHI 1996),,,169-176,1996,IEEE
"Grundy, JC; Liu, Anna; ",Directions in engineering non-functional requirement compliant middleware applications,3rd Australasian Workshop on Software and Systems Architectures (AWSSA 2000),,,,2000,
"Ibrahim, Amani S; Hamlyn-harris, James Hamlyn; Grundy, John; ",Emerging security challenges of cloud virtual infrastructure,"2010 Asia Pacific Cloud Workshop, Colocated with APSEC2010, Australia",,,,2010,
"Cai, Yuhong; Grundy, John; Hosking, John; ",Synthesizing client load models for performance engineering via web crawling,22nd IEEE/ACM International conference on Automated software engineering (ASE 2007),,,353-362,2007,ACM
"Zhu, Nianping; Grundy, JC; Hosking, JG; ",Constructing domain-specific design tools with a visual language meta-tool,2005 Conference on Advanced Information Systems Engineering (CAiSE 2005),,,139-144,2005,
"Kamalrudin, Massila; Grundy, John; Hosking, John; ","Managing consistency between textual requirements, abstract interactions and Essential Use Cases",IEEE 34th Annual Computer Software and Applications Conference (COMPSAC 2010),,,327-336,2010,IEEE
"Grundy, John C; Hosking, John G; Mugridge, Warwick B; ",Serving up a Banquet: Towards an environment supporting all aspects of software development,International Conference on Software Engineering: Education and Practice (SEE&P 1996),,,465-472,1996,IEEE
"Grundy, John C; Hosking, John G; ",MViews: A Framework for Developing Visual Programming Environments.,TOOLS (12/9),,,465-473,1992,
"Patel, Rachel Venita; Plimmer, Beryl; Grundy, John; Ihaka, Ross; ",Exploring better techniques for diagram recognition,2007 New Zealand Computer Science Research Students Conference,,,,2007,"Computer Science, University of Auckland"
"Grundy, John C; ",Human Interaction Issues for User-configurable Collaborative Editing Systems,1st Asia-Pacific Human Computer Interaction Conference (APCHI 1998),,,,1998,IEEE
"Dai, Xiaoling; Ayoade, Oluwatomi; Grundy, John; ",Off-line micro-payment protocol for multiple vendors in mobile commerce,"Seventh International Conference on Parallel and Distributed Computing, Applications and Technologies (PDCAT'06)",,,197-202,2006,IEEE
"Liu, Na; Hosking, John; Grundy, John; ",Integrating a zoomable user interfaces concept into a visual language meta-tool environment,2004 IEEE Symposium on Visual Languages and Human Centric Computing (VL/HCC 2004),,,38-40,2004,IEEE
"Boßung, Sebastian; Grundy, John; Hosking, John; ",Semi-automatic discovery of mapping rules to match XML Schemas,"Department of Computer Science, The University of Auckland, 71pp",,,,2003,
"Khambati, Abizer; Warren, Jim; Grundy, John; Hosking, John; ",A model driven approach to care planning systems for consumer engagement in chronic disease management,2008 Australia's Health Informatics Conference (HIC 2008),,,,2008,Health Informatics Society of Australia Ltd (HISA)
"Singh, Santokh; Chen, H-C; Hunter, Oliver; Grundy, John; Hosking, John; ",Improving agile software development using extreme AOCE and aspect-oriented CVS,12th Asia-Pacific Software Engineering Conference (APSEC 2005),,,8 pp.,2005,IEEE
"White, Philip; Grundy, John; ",Experiences Developing a Collaborative Travel Planning Application with .NET Web Services,1st International Conference on Web Services (ICWS 2003),,,,2003,
"Dantra, Ruskin; Grundy, John; Hosking, John; ",A domain-specific visual language for report writing using Microsoft DSL tools,2009 IEEE Symposium onVisual Languages and Human-Centric Computing (VL/HCC 2009),,,15-22,2009,IEEE
"Grundy, John C; Hosking, John G; Mugridge, Warwick B; ",Visualising Event-based Software Systems: Issues and Experiences,SoftVis97,,,,1997,
"Khambati, Abizer; Grundy, John; Warren, James; Hosking, John; ",Model-driven development of mobile personal health care applications,23rd IEEE/ACM International Conference on Automated Software Engineering (ASE2008),,,467-470,2008,IEEE Computer Society
"Kamalrudin, Massila; Grundy, John; Hosking, John; ",Tool support for essential use cases to better capture software requirements,25th IEEE/ACM international conference on Automated software engineering (ASE 2010),,,255-264,2010,ACM
"Grundy, John; ",Summary of the INTERACT97 Workshop on the Next Generation of CSCW Systems,Human-Computer Interaction INTERACT’97,,,699-700,1997,Springer US
"Ossher, Harold; van der Hoek, André; Storey, Margaret-Anne; Grundy, John; Bellamy, Rachel; ",Flexible modeling tools (flexitools2010),32nd ACM/IEEE International Conference on Software Engineering (ICSE2010),,,441-442,2010,ACM
"Grundy, John; Mugridge, Rick; Hosking, John; Kendall, Paul; ",A visual language and environment for EDI message translation,Proceedings IEEE Symposia on Human-Centric Computing Languages and Environments (VL/HCC 2001),,,330-331,2001,IEEE
"Grundy, John; ","Distributed component engineering using a decentralised, internet-based environment","3rd ICSE Workshop on Software Engineering over the Internet, Limerick, Ireland, June 2000",,,,2000,
"Grundy, John C; Hosking, John G; Mugridge, Warwick B; ",Support for end-user specification of work coordination in workflow systems,"Proceedings of the 2nd International Workshop on End-User Development, Barcelona, Spain",,,,1997,
"Stoeckle, Hermann; Grundy, John; Hosking, John; ",Notation exchange converters for software architecture development,11th ACM SIGSOFT Symposium on the Foundations of Software Engineering (ESEC/FSE 2003),,,,2003,
"Salleh, Norsaremah; Mendes, Emilia; Grundy, John; Burch, Giles St J; ",The effects of neuroticism on pair programming: An empirical study in the higher education context,2010 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM 2010),,,22,2010,ACM
"Grundy, John C; Hoking, JG; ",Integrated object-oriented software development in SPE,"Proceedings of the 13th NZCS Conference, Aucland, New Zealand",,,,1993,NZCS
